,target,1,2,3,4,text
0,0,1974671194,Sat May 30 13:36:31 PDT 2009,NO_QUERY,simba98,@xnausikaax oh no! where did u order from? that's horrible 
1,0,1997882236,Mon Jun 01 17:37:11 PDT 2009,NO_QUERY,Seve76,A great hard training weekend is over.  a couple days of rest and lets do it again!  Lots of computer time to put in now 
2,0,2177756662,Mon Jun 15 06:39:05 PDT 2009,NO_QUERY,x__claireyy__x,"Right, off to work  Only 5 hours to go until I'm free xD"
3,0,2216838047,Wed Jun 17 20:02:12 PDT 2009,NO_QUERY,Balasi,I am craving for japanese food 
4,0,1880666283,Fri May 22 02:03:31 PDT 2009,NO_QUERY,djrickdawson,Jean Michel Jarre concert tomorrow  gotta work 7-3 before though 
5,0,2298885807,Tue Jun 23 12:14:03 PDT 2009,NO_QUERY,blinkxxatl,@xPowxBangxBoomx dammiitt!! i wish i had MTV 
6,0,2014269923,Wed Jun 03 00:59:10 PDT 2009,NO_QUERY,BlackCat_Saya,@Rohan_01 You know..it's really sad that u know that ur classmate don't care about you..        sad memories T.T
7,0,1984898930,Sun May 31 16:01:45 PDT 2009,NO_QUERY,OhSunshine_,@FaketragedyCom i know 
8,0,2232741622,Thu Jun 18 20:19:48 PDT 2009,NO_QUERY,SLeepdepD,@JudahGabriel i wish i had that much to say 
9,0,2191270369,Tue Jun 16 04:54:54 PDT 2009,NO_QUERY,vanessachelsea,"ow, i can't move my neck or my back   hurts too much and i don't know why D:"
10,0,1680803339,Sat May 02 12:31:57 PDT 2009,NO_QUERY,bl00dline,I.....want to.......go........home........ 
11,0,2187289677,Mon Jun 15 20:04:00 PDT 2009,NO_QUERY,manderrs,"reading a few chapters of choke, sleep, work. i still feel like shit. "
12,0,2261441236,Sat Jun 20 20:47:47 PDT 2009,NO_QUERY,DiyanaRazinah,"@f_nadzirah cant sleep,go online! hahaha @bobbyden and @faidchong misses you too "
13,0,2251810903,Sat Jun 20 04:39:04 PDT 2009,NO_QUERY,vy_twit,omfg why am I working right now? 
14,0,1976621099,Sat May 30 18:36:13 PDT 2009,NO_QUERY,Jezebel816,My brother must hate me. He didn't answer his phone  and he didn't call me back. Either that or he's sleeping or at work. ;)
15,0,1976810935,Sat May 30 19:08:44 PDT 2009,NO_QUERY,scienceofsleep,@amytheallen no... 19  I'd assume they'd check if I actually DID win something
16,0,2245363011,Fri Jun 19 16:01:35 PDT 2009,NO_QUERY,Shawn0lee2,@DIVACANDICEM - Candice i dont mean to bother you but im really sad that u got released! 
17,0,2300053959,Tue Jun 23 13:40:33 PDT 2009,NO_QUERY,Livmarie828,"Sitting at work, waiting for the Receptionist to get off lunch so I can go to my dental    I hate it!"
18,0,2055380782,Sat Jun 06 09:12:40 PDT 2009,NO_QUERY,wholesick,@victoria_tweed opted for a corona - it was a mistake. my headache just got a million times worse 
19,0,2298444318,Tue Jun 23 11:41:10 PDT 2009,NO_QUERY,RaymundoMonge,Looks like I won't be getting operated b4 my album release   Gonna surprise my pops at work and have lunch with him! Happy late Dad's day!
20,0,2221749067,Thu Jun 18 05:56:30 PDT 2009,NO_QUERY,AmyKachurak,@justkaty I blame josh &amp; bff ..she was sick earlier &amp; so was josh 
21,0,2228087087,Thu Jun 18 14:00:19 PDT 2009,NO_QUERY,AWNG,"Im in da library, noelle and Kayla and connie just left. should i? maybe cuz im really bored. noone 2 chat and laugh with. "
22,0,2284232385,Mon Jun 22 13:37:47 PDT 2009,NO_QUERY,davidpetersonh,"@pjraval They searched my person, too. One grabbed my stomach under my sweater. That's what I get for wearing a sweater in snowy weather. "
23,0,2185503530,Mon Jun 15 17:28:52 PDT 2009,NO_QUERY,jenimayyy,@mikegentile hey stud. go figure you come to the land of whores when i am gone in the bahamas 
24,0,1997688116,Mon Jun 01 17:17:07 PDT 2009,NO_QUERY,one_wingedangel,@veropperez awwww my poor muffins i had to make those and i didnt make them for the cat HE TOOK THE WHOLE FREAKIN BAG and ran away  aw man
25,0,1968239058,Fri May 29 21:02:13 PDT 2009,NO_QUERY,Queensowntalia,Saw Walk the Line tonight.Never heard much Cash before.I could definitely appreciate this.Why do I only &quot;discover&quot; artists after they die 
26,0,1553109752,Sat Apr 18 13:23:57 PDT 2009,NO_QUERY,hollygable,"Spent evening looking after suki doggy shitting herself everywhere, falling off the decking into ditch and whining &amp; running into things "
27,0,2058754696,Sat Jun 06 15:33:55 PDT 2009,NO_QUERY,autbabe0428,Home from work... Was missing my maddie bug   Now off to put clothes away and make our bed!!! Maybe sleep in it tonight!!!
28,0,2206174181,Wed Jun 17 06:07:32 PDT 2009,NO_QUERY,ZaLord,@hazemtaji Did you buy a PS3? My xbox360 got the RROD 
29,0,2204492298,Wed Jun 17 02:21:33 PDT 2009,NO_QUERY,FizzyGingerBeer,@pwbbounce uh oh  but is that not good? its not got a hidden meaning or anything that i dont know about has it?
30,0,1973938548,Sat May 30 12:07:35 PDT 2009,NO_QUERY,angelxx71,@anniegxxx can't think of him that way any more  or at least I try not to LOL
31,0,1824298166,Sun May 17 00:47:50 PDT 2009,NO_QUERY,ImSOposh,I guess alls well that ends well...I'm still single for the record lol. Leaving Cleveland will be bittersweet to 
32,0,1753019777,Sat May 09 23:49:26 PDT 2009,NO_QUERY,mookyvet,"@MissDangerMouse Hell yes!  Where have you BEEN, man?  You're never on AIM anymore. "
33,0,2264631528,Sun Jun 21 04:28:40 PDT 2009,NO_QUERY,andychong9,Dad having fever again.. Not looking too good 
34,0,1972485629,Sat May 30 09:18:55 PDT 2009,NO_QUERY,kiwikjh,WTF is going on with the Chiefs? Getting smashed at the 1/2 way point of the S14 final 
35,0,2175302784,Mon Jun 15 00:36:56 PDT 2009,NO_QUERY,sawarahh,@cathicks I don't get it. 
36,0,2264873983,Sun Jun 21 05:11:06 PDT 2009,NO_QUERY,SazzyMCH,I am not poorly sick like @loobydo but I am not a happy bunny - I ache 
